,CRIM,ZN,INDUS,AGE,TAX,PTRATIO,LSTAT,pred
0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,1,3
2,0,0,0,0,0,0,2,3
3,0,0,0,0,0,0,3,3
4,0,0,0,0,0,1,0,1
5,0,0,0,0,0,1,1,1
6,0,0,0,0,0,1,2,1
7,0,0,0,0,0,1,3,3
8,0,0,0,0,0,2,0,1
9,0,0,0,0,0,2,1,1
10,0,0,0,0,0,2,2,1
11,0,0,0,0,0,2,3,2
12,0,0,0,0,0,3,0,1
13,0,0,0,0,0,3,1,1
14,0,0,0,0,0,3,2,1
15,0,0,0,0,0,3,3,2
16,0,0,0,0,1,0,0,1
17,0,0,0,0,1,0,1,3
18,0,0,0,0,1,0,2,3
19,0,0,0,0,1,0,3,3
20,0,0,0,0,1,1,0,1
21,0,0,0,0,1,1,1,1
22,0,0,0,0,1,1,2,3
23,0,0,0,0,1,1,3,3
24,0,0,0,0,1,2,0,1
25,0,0,0,0,1,2,1,1
26,0,0,0,0,1,2,2,1
27,0,0,0,0,1,2,3,2
28,0,0,0,0,1,3,0,1
29,0,0,0,0,1,3,1,1
30,0,0,0,0,1,3,2,1
31,0,0,0,0,1,3,3,2
32,0,0,0,0,2,0,0,3
33,0,0,0,0,2,0,1,3
34,0,0,0,0,2,0,2,3
35,0,0,0,0,2,0,3,3
36,0,0,0,0,2,1,0,1
37,0,0,0,0,2,1,1,3
38,0,0,0,0,2,1,2,3
39,0,0,0,0,2,1,3,3
40,0,0,0,0,2,2,0,1
41,0,0,0,0,2,2,1,1
42,0,0,0,0,2,2,2,3
43,0,0,0,0,2,2,3,3
44,0,0,0,0,2,3,0,1
45,0,0,0,0,2,3,1,1
46,0,0,0,0,2,3,2,1
47,0,0,0,0,2,3,3,2
48,0,0,0,0,3,0,0,3
49,0,0,0,0,3,0,1,3
50,0,0,0,0,3,0,2,3
51,0,0,0,0,3,0,3,3
52,0,0,0,0,3,1,0,3
53,0,0,0,0,3,1,1,3
54,0,0,0,0,3,1,2,3
55,0,0,0,0,3,1,3,3
56,0,0,0,0,3,2,0,1
57,0,0,0,0,3,2,1,1
58,0,0,0,0,3,2,2,3
59,0,0,0,0,3,2,3,3
60,0,0,0,0,3,3,0,1
61,0,0,0,0,3,3,1,1
62,0,0,0,0,3,3,2,1
63,0,0,0,0,3,3,3,3
64,0,0,0,1,0,0,0,1
65,0,0,0,1,0,0,1,1
66,0,0,0,1,0,0,2,1
67,0,0,0,1,0,0,3,3
68,0,0,0,1,0,1,0,1
69,0,0,0,1,0,1,1,1
70,0,0,0,1,0,1,2,1
71,0,0,0,1,0,1,3,2
72,0,0,0,1,0,2,0,1
73,0,0,0,1,0,2,1,1
74,0,0,0,1,0,2,2,1
75,0,0,0,1,0,2,3,2
76,0,0,0,1,0,3,0,1
77,0,0,0,1,0,3,1,1
78,0,0,0,1,0,3,2,1
79,0,0,0,1,0,3,3,2
80,0,0,0,1,1,0,0,1
81,0,0,0,1,1,0,1,1
82,0,0,0,1,1,0,2,3
83,0,0,0,1,1,0,3,3
84,0,0,0,1,1,1,0,1
85,0,0,0,1,1,1,1,1
86,0,0,0,1,1,1,2,1
87,0,0,0,1,1,1,3,3
88,0,0,0,1,1,2,0,1
89,0,0,0,1,1,2,1,1
90,0,0,0,1,1,2,2,1
91,0,0,0,1,1,2,3,2
92,0,0,0,1,1,3,0,1
93,0,0,0,1,1,3,1,1
94,0,0,0,1,1,3,2,1
95,0,0,0,1,1,3,3,2
96,0,0,0,1,2,0,0,1
97,0,0,0,1,2,0,1,3
98,0,0,0,1,2,0,2,3
99,0,0,0,1,2,0,3,3
100,0,0,0,1,2,1,0,1
101,0,0,0,1,2,1,1,1
102,0,0,0,1,2,1,2,3
103,0,0,0,1,2,1,3,3
104,0,0,0,1,2,2,0,1
105,0,0,0,1,2,2,1,1
106,0,0,0,1,2,2,2,1
107,0,0,0,1,2,2,3,2
108,0,0,0,1,2,3,0,1
109,0,0,0,1,2,3,1,1
110,0,0,0,1,2,3,2,1
111,0,0,0,1,2,3,3,2
112,0,0,0,1,3,0,0,3
113,0,0,0,1,3,0,1,3
114,0,0,0,1,3,0,2,3
115,0,0,0,1,3,0,3,3
116,0,0,0,1,3,1,0,1
117,0,0,0,1,3,1,1,1
118,0,0,0,1,3,1,2,3
119,0,0,0,1,3,1,3,3
120,0,0,0,1,3,2,0,1
121,0,0,0,1,3,2,1,1
122,0,0,0,1,3,2,2,1
123,0,0,0,1,3,2,3,3
124,0,0,0,1,3,3,0,1
125,0,0,0,1,3,3,1,1
126,0,0,0,1,3,3,2,1
127,0,0,0,1,3,3,3,2
128,0,0,0,2,0,0,0,1
129,0,0,0,2,0,0,1,1
130,0,0,0,2,0,0,2,1
131,0,0,0,2,0,0,3,2
132,0,0,0,2,0,1,0,1
133,0,0,0,2,0,1,1,1
134,0,0,0,2,0,1,2,1
135,0,0,0,2,0,1,3,1
136,0,0,0,2,0,2,0,1
137,0,0,0,2,0,2,1,1
138,0,0,0,2,0,2,2,1
139,0,0,0,2,0,2,3,1
140,0,0,0,2,0,3,0,1
141,0,0,0,2,0,3,1,1
142,0,0,0,2,0,3,2,1
143,0,0,0,2,0,3,3,1
144,0,0,0,2,1,0,0,1
145,0,0,0,2,1,0,1,1
146,0,0,0,2,1,0,2,1
147,0,0,0,2,1,0,3,3
148,0,0,0,2,1,1,0,1
149,0,0,0,2,1,1,1,1
150,0,0,0,2,1,1,2,1
151,0,0,0,2,1,1,3,2
152,0,0,0,2,1,2,0,1
153,0,0,0,2,1,2,1,1
154,0,0,0,2,1,2,2,1
155,0,0,0,2,1,2,3,1
156,0,0,0,2,1,3,0,1
157,0,0,0,2,1,3,1,1
158,0,0,0,2,1,3,2,1
159,0,0,0,2,1,3,3,1
160,0,0,0,2,2,0,0,1
161,0,0,0,2,2,0,1,1
162,0,0,0,2,2,0,2,3
163,0,0,0,2,2,0,3,3
164,0,0,0,2,2,1,0,1
165,0,0,0,2,2,1,1,1
166,0,0,0,2,2,1,2,1
167,0,0,0,2,2,1,3,2
168,0,0,0,2,2,2,0,1
169,0,0,0,2,2,2,1,1
170,0,0,0,2,2,2,2,1
171,0,0,0,2,2,2,3,2
172,0,0,0,2,2,3,0,1
173,0,0,0,2,2,3,1,1
174,0,0,0,2,2,3,2,1
175,0,0,0,2,2,3,3,1
176,0,0,0,2,3,0,0,1
177,0,0,0,2,3,0,1,1
178,0,0,0,2,3,0,2,3
179,0,0,0,2,3,0,3,3
180,0,0,0,2,3,1,0,1
181,0,0,0,2,3,1,1,1
182,0,0,0,2,3,1,2,1
183,0,0,0,2,3,1,3,3
184,0,0,0,2,3,2,0,1
185,0,0,0,2,3,2,1,1
186,0,0,0,2,3,2,2,1
187,0,0,0,2,3,2,3,2
188,0,0,0,2,3,3,0,1
189,0,0,0,2,3,3,1,1
190,0,0,0,2,3,3,2,1
191,0,0,0,2,3,3,3,1
192,0,0,0,3,0,0,0,1
193,0,0,0,3,0,0,1,1
194,0,0,0,3,0,0,2,1
195,0,0,0,3,0,0,3,1
196,0,0,0,3,0,1,0,1
197,0,0,0,3,0,1,1,1
198,0,0,0,3,0,1,2,1
199,0,0,0,3,0,1,3,1
200,0,0,0,3,0,2,0,1
201,0,0,0,3,0,2,1,1
202,0,0,0,3,0,2,2,1
203,0,0,0,3,0,2,3,1
204,0,0,0,3,0,3,0,1
205,0,0,0,3,0,3,1,1
206,0,0,0,3,0,3,2,1
207,0,0,0,3,0,3,3,1
208,0,0,0,3,1,0,0,1
